"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 05 16:29:49 NZST 2021","Sun Sep 05 16:29:59 NZST 2021","10098","Suite 1","TEST_1","com.changefinancial.TestCases.T_8_TestRegressionAPI","com.changefinancial.TestCases.T_8_TestRegressionAPI","testAllRegressionAPI","testAllRegressionAPI",""
"failed","Sun Sep 05 16:30:00 NZST 2021","Sun Sep 05 16:30:04 NZST 2021","4667","Suite 1","TEST_1","com.changefinancial.TestCases.T_9_TestStressAPI","com.changefinancial.TestCases.T_9_TestStressAPI","testStressAPI","testStressAPI",""
